Estate Name,Street Name,House Type,HLC
Osemi Mayegun,Mayegun Street,MakeShift,29.0
Alpha Beach,Owode,MakeShift,6.0
Arsenal Gate Alpha Beach,Baale Street Alpha  Beach,Face-To-Face,2.0
Igbo Efon,Baale,MakeShift,0.5
S. P. G,Amadahsu Street,Flat/Bungalow/Duplex,0.75
S. P. G,Amadashu Street,Uncompleted,0.17
Alpha  Beach,Jobojo Street,MakeShift,8.0
Aro Town,Aro Street,MakeShift,2.0
Aro Estate,Aro  Compound,MakeShift,2.0
Aro Town,Aro Street,MakeShift,20.0
Alpha Beach,Banuso Street Owode,Face-To-Face,1.0
Igbo Efon,Fadeyi Street,Face-To-Face,6.0
Aro Town,Aro Street,Uncompleted,0.08
Aro Town,Aro Street,Uncompleted,3.0
Alpha Beach,Pako Estate,MakeShift,9.0
Alpha Beach,Baale Street,Face-To-Face,17.0
Alpha Beach,Alpha Beach  Road,Uncompleted,0.25
S. P. G,Amadashu Street,Uncompleted,9.0
Alpha Beach,Ola Adigun Street,BQ,4.0
Igbo Efon,Ola Adigun,Face-To-Face,8.0
Alpha Beach,Owode,Face-To-Face,3.0
Igbo Efon,Baale Street,Face-To-Face,2.0
Alpha Beach,Baale Street,Face-To-Face,10.0
Igbo Efon,Fadeyi Street,MakeShift,6.0
Igbo Efon,Olukolu,MakeShift,1.0
Igbo Efon,Olukolu,MakeShift,1.0
Igbo Efon,Arori Tajudeen Street,Face-To-Face,44.0
S. P. G,Amadasu Street,Flat/Bungalow/Duplex,5.0
Lekki Phase 1,Waterside,MakeShift,2.0
New Road,Hawui Abikan Street,Uncompleted,2.0
Arori Tajudeen,4 Arori Street,Face-To-Face,21.0
Igbo Efon,Baale Street,Face-To-Face,30.0
Igbo Efon,Baale Street,Face-To-Face,25.0
Alpha Beach,Owode Transformer,Face-To-Face,5.0
S. P. G,Amadashu,Flat/Bungalow/Duplex,0.58
Alpha Beach,Shesanya Street Owode,Flat/Bungalow/Duplex,4.0
Aro Town,Aro Town,MakeShift,0.83
Aro Town,Aro Gate,MakeShift,2.0
Igbo Efon,Baale Street,Face-To-Face,8.0
Paco Estate,Tourism Road,MakeShift,2.0
Aro Town, Baale street,MakeShift,4.0
Ologolo,Ologolo,Face-To-Face,0.42
SPG,Amadasun,Face-To-Face,0.75
Aro Town,Aro Village,Uncompleted,1.0
Baruwa,Elizabeth Tinuke Street,MakeShift,9.0
Aro Ancient,Baale Street,MakeShift,2.0
Aro,Baale's Street,MakeShift,0.0
Alpha Beach,Sasanya Street Owode,Face-To-Face,10.0
Aro Town,Beside the Beach,Uncompleted,10.0
S. P. G,Amadashu street,Flat/Bungalow/Duplex,4.0
Igbo Efon,Baale Palace,Face-To-Face,9.0
S. P. G,Amadashun Street,Face-To-Face,1.0
Arsenal Gate Alpha Beach,Jogoyo Street Off Baale Street,Face-To-Face,10.0
Bushafoa Lasisi,Igbo Efon,Flat/Bungalow/Duplex,30.0
S. P.  G,Amadashu Streer,Flat/Bungalow/Duplex,0.33
Igbo Efon,Baale Street,Face-To-Face,14.0
Igbo Efon,Baale Street,MakeShift,30.0
Mayegun,Osenu Mayegun,Face-To-Face,20.0
Aro,Aro Street,MakeShift,3.0
Igbo Efon,Olukola,MakeShift,2.0
Igbo Efon,Baale Street,MakeShift,4.0
Aro Ancient Town,Baale's Street,MakeShift,4.0
"Aro Ancient
Town",Baale's Street,MakeShift,1.0
Ologolo,Ologolo Street,MakeShift,2.0
Alpha Beach,Sansanya Street Owode,Face-To-Face,10.0
S. P. G,Amadasu Street,Flat/Bungalow/Duplex,5.0
SPG,AMADANSU,Face-To-Face,6.0
SPG,AMADANSU,Face-To-Face,1.0
SPG,AMADANSU,Face-To-Face,0.58
SPG,AMADANSU,Face-To-Face,0.17
SPG,AMADANSU,Face-To-Face,2.0
SPG,AMADANSU,Face-To-Face,1.0
SPG,AMADANSU,Face-To-Face,0.58
SPG,AMADANSU,Face-To-Face,0.58
SPG,AMADANSU,Face-To-Face,0.58
SPG,AMADANSU,Face-To-Face,1.0
SPG,AMADANSU,Face-To-Face,0.67
SPG,AMADANSU,Face-To-Face,1.0
SPG,AMADANSU,Face-To-Face,2.0
SPG,AMADANSU,Face-To-Face,0.5
EGBO EFON,BALE,Face-To-Face,26.0
ALPHA BEACH,ALPHA BEACH ROAD,Uncompleted,1.0
ALPHA BEACH,BAALE,Uncompleted,16.0
ALPHA BEACH,BAALE STREET,Uncompleted,3.0
Aro Town,Baale street,MakeShift,4.0
Aro Town,Aro Street,Uncompleted,3.0
Aro Town,Aro Street,MakeShift,2.0
Aro Town,Aro Street,MakeShift,6.0
Aro Town,Aro Street,Face-To-Face,3.0
Aro Town,Aro Street,MakeShift,3.0
Aro Town,Aro Street,MakeShift,10.0
Aro Town,Aro Street,MakeShift,2.0
Aro Town,Aro Street,MakeShift,12.0
Itedo,Otunba street,Flat/Bungalow/Duplex,10.0
Alpha Beach,Owode community,MakeShift,10.0
Alpha beach,Owode community,MakeShift,7.0
Alpha Beach,Owode community,MakeShift,5.0
Alpha beach,Owode Dorcas street,MakeShift,4.0
Alpha Beach,Owode Dorcas street,MakeShift,4.0
Alpha beach,Owode Dorcas,MakeShift,8.0
"Kpako Estate, Alpha Beach",Joboyo Street,MakeShift,0.5
Alpha Beach,Owode Transformer,Face-To-Face,2.0
Alpha Beach,Tourism Road,MakeShift,2.0
Alpha beach,Tourism Road,MakeShift,17.0
Alpha Beach,Owode,Face-To-Face,0.83
Baruwa,Baale Street,MakeShift,4.0
Front of Discovery Estate,Sunview,MakeShift,5.0
Pako Estate,Admiralty Road,Face-To-Face,9.0
Mayegun,Mayegun,Uncompleted,10.0
Jakande,Mayegun,Face-To-Face,20.0
Igbo Efon,Mustapha Lasis,Face-To-Face,1.0
Alpha Beach,Alpha Beach Road After Atlantic Estate,Flat/Bungalow/Duplex,7.0
Alpha Beach,Baale,Face-To-Face,1.0
Alpha Beach,Baale,Face-To-Face,4.0
Alpha Beach,John Jakita,Uncompleted,5.0
Alpha Beach,Ebenezery,MakeShift,6.0
Alpha Beach,Baale,Face-To-Face,15.0
New Road,Alpha Beach Road,MakeShift,10.0
Alpha Beach,Baale,Face-To-Face,4.0
Igbo Efon,Jinadu,Face-To-Face,7.0
Igbo Efon,Olukolu,MakeShift,2.0
Igbo Efon,Baro,MakeShift,10.0
Igbo Efon,Musala Lassisi,Face-To-Face,2.0
Alpha Beach,Owode,Uncompleted,12.0
Igbo Efon,Baale,Face-To-Face,8.0
Igbo Efon,Baale,Flat/Bungalow/Duplex,0.08
Alpha Beach,Baale,MakeShift,40.0
Alpha Beach,"Alpha Beach Road, Opposite Apoloju",Uncompleted,2.0
Igbo Efon,Fadeyi,Face-To-Face,21.0
Igbo Efon,Fadeyi,Face-To-Face,5.0
Igbo Efon,Fadeyi,Face-To-Face,10.0
Igbo Efon,Olukolu House,Face-To-Face,48.0
Igbo Efon,Jinadu,Face-To-Face,7.0
Aro Town,Aro,MakeShift,4.0
Aro Town,Aro,MakeShift,2.5
Aro Town,Aro,Uncompleted,3.0
Sunview,Sunview,MakeShift,1.0
Aro Town,Aro,MakeShift,7.0
Aro Town,Aro,MakeShift,2.0
Aro Town,Aro,MakeShift,2.0
Jakande,White Sand,MakeShift,7.0
Jakande,White Sand,MakeShift,5.0
Aro Town,Aro,MakeShift,1.0
Aro Town,Baale,MakeShift,1.0
Aro Town,Aro,MakeShift,1.0
Aro Town,Aro,MakeShift,2.0
Aro Town,Aro,MakeShift,6.0
Aro Town,Aro,MakeShift,6.0
Aro Town,Aro,MakeShift,1.0
Aro Town,Aro,MakeShift,2.0
Mayegun Town,Central Mosque,MakeShift,1.0
Alpha Beach,Baale,MakeShift,15.0
Aro Town,Aro,MakeShift,0.08
Aro Town,Aro,MakeShift,3.0
Aro Town,Aro,MakeShift,2.0
Aro Town,Aro,MakeShift,1.6
Aro Town,Aro,MakeShift,18.0
Aro Town,Aro,MakeShift,0.5
Aro Town,Aro,MakeShift,0.33
Aro Town,Aro,MakeShift,0.25
Aro Town,Aro,MakeShift,0.08
Aro Town,Aro,MakeShift,7.0
Aro Town,Aro,MakeShift,2.0
Aro Town,Aro,MakeShift,2.0
Jakande,White Sand,MakeShift,5.0
Jakande,White Sand,MakeShift,3.0
Aro Town,Aro,MakeShift,2.0
Aro Town,Aro,MakeShift,19.0
Aro Town,Aro,MakeShift,5.0
Aro Town,Arfo,MakeShift,2.0
Aro Town,Aro,MakeShift,4.0
Aro Town,Aro,MakeShift,2.0
Aro Town,Aro,MakeShift,6.0
Aro Town,Aro,MakeShift,4.0
Aro Town,Aro,MakeShift,4.0
Aro Town,Aro,MakeShift,0.25
Aro Town,Aro,MakeShift,3.0
Aro Ancient Town,Alhaji Gadu,Face-To-Face,3.0
Aro Ancient Town,Baale,MakeShift,2.0
Aro Ancient Town,Baale,MakeShift,2.0
Aro Ancient Town,Aminu,MakeShift,0.25
Aro Ancient Town,Alhaji Gadu,Face-To-Face,20.0
Aro Ancient Town,Alhaji Gado,Face-To-Face,30.0
Aro Town,Beach Road,MakeShift,4.0
Aro Town,Waterside,MakeShift,0.5
Aro Town,Beach Road,MakeShift,2.0
Aro Town,Beach Road,MakeShift,0.25
Aro Town,Close to Aro gate,MakeShift,0.25
Aro Town,Waterside,MakeShift,5.0
Aro Ancient Town,Aro,Face-To-Face,10.0
Aro Town,Aro,MakeShift,4.0
Aro Town,Aro,MakeShift,1.0
Aro Town,Aro,MakeShift,3.0
Aro Town,Aro,MakeShift,3.0
Aro Town,Aro,MakeShift,0.67
Aro Town,Aro,MakeShift,1.0
Aro Town,Aro,MakeShift,1.0
Atlantic View Estate,Marantha (Razaq Balogun Area),MakeShift,5.0
Atlantic View Estate,Bode Ajakaye,Uncompleted,1.0
